"title","score","episode_count","episode_length","member_count","start_date","synopsis","genre","studio","source","url","image"
Chainsaw Man,8.88,"12 eps","24 min",805329,2022-10-12,"Denji is robbed of a normal teenage life, left with nothing but his deadbeat father's overwhelming debt. His only companion is his pet, the chainsaw devil Pochita, with whom he slays devils for money that inevitably ends up in the yakuza's pockets. All Denji can do is dream of a good, simple life: one with delicious food and a beautiful girlfriend by his side. But an act of greedy betrayal by the yakuza leads to Denji's brutal, untimely death, crushing all hope of him ever achieving happiness.

Remarkably, an old contract allows Pochita to merge with the deceased Denji and bestow devil powers on him, changing him into a hybrid able to transform his body parts into chainsaws. Because Denji's new abilities pose a significant risk to society, the Public Safety Bureau's elite devil hunter Makima takes him in, letting him live as long as he obeys her command. Guided by the promise of a content life alongside an attractive woman, Denji devotes everything and fights with all his might to make his naive dreams a reality.

[Written by MAL Rewrite]","{Action,Supernatural,Gore,Shounen}",MAPPA,Manga,https://myanimelist.net/anime/44511/Chainsaw_Man,https://cdn.myanimelist.net/images/anime/1806/126216.jpg
Spy x Family Part 2,8.67,"13 eps","24 min",478431,2022-10-01,"With Anya Forger successfully enrolled at the renowned Eden Academy, Operation Strix advances to its second phase. To investigate Ostanian politician Donovan Desmond, Anya must either befriend his son Damian or collect eight Stella Stars to become an Imperial Scholar. Fortunately, Anya has already acquired her first star. In celebration, her adoptive father, Loid, decides to fulfill her wish to adopt a dog.

During their canine search, Loid receives new orders from his superiors, who have found that a band of Berlint University students is plotting to assassinate Westalis' Minister Brantz using bombs worn by trained dogs. While Loid tries to stop their plans, Anya stumbles upon the terrorists' base of operations. There, she befriends a kindhearted, clairvoyant dog who the family later names Bond.

Although the Forgers continue to lead their individual lives in secrecy, the family—with a new fluffy addition—remains united through all of the unusual obstacles thrown their way.

[Written by MAL Rewrite]","{Action,Comedy,Childcare,Shounen}",CloverWorks,Manga,https://myanimelist.net/anime/50602/Spy_x_Family_Part_2,https://cdn.myanimelist.net/images/anime/1111/127508.jpg
Mob Psycho 100 III,8.66,? eps,"23 min",374887,2022-10-06,"After foiling a world-threatening plot, Shigeo ""Mob"" Kageyama returns to tackle the more exhausting aspects of his mundane life—starting with filling out his school's nerve-racking career form. Meanwhile, he continues to assist his mentor Arataka Reigen and the office's new recruit, Katsuya Serizawa, in solving paranormal cases of their clients. While continuing his duties, Mob also works on gaining more independence in his esper and human lives, as well as trying to integrate better with the people around him.

However, new supernatural and ordinary challenges test Mob’s emotional stability and force him to confront the realities around him. As he strives to continue forward on the path to maturity, Mob must resolve his emotional crises and reassess the naivety he has held on for so long.

[Written by MAL Rewrite]","{Action,Comedy,Supernatural,""Super Power""}",Bones,Web manga,https://myanimelist.net/anime/50172/Mob_Psycho_100_III,https://cdn.myanimelist.net/images/anime/1228/125011.jpg
Boku no Hero Academia 6th Season,8.21,"25 eps","23 min",337321,2022-10-01,"With Tomura Shigaraki at its helm, the former Liberation Army is now known as the Paranormal Liberation Front. This organized criminal group poses an immense threat to the Hero Association, not only because of its sheer size and strength, but also the overpowering quirks of Jin ""Twice"" Bubaigawara and Gigantomachia.

As new intel from the covert hero Keigo ""Hawks"" Takami confirms that Shigaraki is nowhere to be seen, the Hero Association decides to strike the enemy headquarters with a surprise attack using the entirety of its assets—and the UA students find themselves on the battlefield once again. As the fight rages on, the unsuspecting villains must regroup and push back, but the brave heroes are determined to eradicate every last one of them.

[Written by MAL Rewrite]","{Action,School,Shounen}",Bones,Manga,https://myanimelist.net/anime/49918/Boku_no_Hero_Academia_6th_Season,https://cdn.myanimelist.net/images/anime/1483/126005.jpg
Bleach: Sennen Kessen-hen,9.08,? eps,"24 min",280090,2022-10-11,"Was it all just a coincidence, or was it inevitable?

Ichigo Kurosaki gained the powers of a Soul Reaper through a chance encounter. As a Substitute Soul Reaper, Ichigo became caught in the turmoil of the Soul Society, a place where deceased souls gather. But with help from his friends, Ichigo overcame every challenge to become even stronger.

When new Soul Reapers and a new enemy appear in his hometown of Karakura, Ichigo jumps back into the battlefield with his Zanpakuto to help those in need. Meanwhile, the Soul Society is observing a sudden surge in the number of Hollows being destroyed in the World of the Living. They also receive separate reports of residents in the Rukon District having gone missing. Finally, the Seireitei, home of the Soul Reapers, comes under attack by a group calling themselves the Wandenreich.

Led by Yhwach, the father of all Quincies, the Wandenreich declare war against the Soul Reapers with the following message: ""Five days from now, the Soul Society will be annihilated by the Wandenreich.""

The history and truth kept hidden by the Soul Reapers for a thousand long years is finally brought to light.

All things must come to an end—as Ichigo Kurosaki's final battle begins!

(Source: VIZ Media)","{Action,Adventure,Fantasy,Shounen}",Pierrot,Manga,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,https://cdn.myanimelist.net/images/anime/1764/126627.jpg
Blue Lock,8.25,"24 eps","24 min",262304,2022-10-09,"Yoichi Isagi was mere moments away from scoring a goal that would have sent his high school soccer team to the nationals, but a split-second decision to pass the ball to his teammate cost him that reality. Bitter, confused, and disappointed, Isagi wonders if the outcome would have been different had he not made the pass. When the young striker returns home, an invitation from the Japan Football Union awaits him. Through an arbitrary and biased decision-making process, Isagi is one of three hundred U-18 strikers selected for a controversial project named Blue Lock. 

The project's ultimate goal is to turn one of the selected players into the star striker for the Japanese national team. To find the best participant, each diamond in the rough must compete against others through a series of solo and team competitions to rise to the top. Putting aside his ethical objections to the project, Isagi feels compelled to fight his way to the top, even if it means ruthlessly crushing the dreams of 299 aspiring young strikers.

[Written by MAL Rewrite]","{Sports,""Team Sports"",Shounen}","8bit",Manga,https://myanimelist.net/anime/49596/Blue_Lock,https://cdn.myanimelist.net/images/anime/1258/126929.jpg
Duel Masters Win,0.0,? eps,"0 min",424,2022-09-04,(No synopsis yet.),"{Action,Adventure,Comedy,Fantasy,Kids}",Brain's Base,Original,https://myanimelist.net/anime/52460/Duel_Masters_Win,https://cdn.myanimelist.net/images/anime/1836/126594.jpg
Kage no Jitsuryokusha ni Naritakute!,7.79,"20 eps","23 min",196094,2022-10-05,"For as long as he can remember, Minoru Kagenou has been fixated on becoming as strong as possible, which has led him to undertake all kinds of rigorous training. This wish, however, does not stem from a desire to be recognized by others; rather, Minoru does everything he can to blend in with the crowd. So, while pretending to be a completely average student during the day, he arms himself with a crowbar and ruthlessly thrashes local biker gangs at night. Yet when Minoru finds himself in a truck accident, his ambitions seemingly come to a sudden end. In his final moments, he laments his powerlessness—no matter how much he trained, there was nothing he could do to overcome his human limitations.

But instead of dying, Minoru reawakens as Cid, the second child of the noble Kagenou family, in another world—one where magic is commonplace. With the power he so desired finally within his grasp, he dons the moniker ""Shadow"" and establishes Shadow Garden: a group whose sole purpose is to combat the enigmatic Cult of Diablos, an organization born from Cid's imagination. However, as Shadow Garden grows in both membership and influence, it becomes increasingly apparent that the Cult of Diablos is not as fictional as Cid had intended.

[Written by MAL Rewrite]","{Action,Comedy,Fantasy,Isekai}",Nexus,Light novel,https://myanimelist.net/anime/48316/Kage_no_Jitsuryokusha_ni_Naritakute,https://cdn.myanimelist.net/images/anime/1874/121869.jpg
Fumetsu no Anata e 2nd Season,8.13,"20 eps","25 min",171992,2022-10-23,Second season of Fumetsu no Anata e.,"{Adventure,Drama,Supernatural,Shounen}",Drive,Manga,https://myanimelist.net/anime/49709/Fumetsu_no_Anata_e_2nd_Season,https://cdn.myanimelist.net/images/anime/1271/127700.jpg
Uzaki-chan wa Asobitai! Double,7.37,"13 eps","23 min",142080,2022-10-01,"During the summer holidays, energetic Hana Uzaki spent most of her time accompanying her lonesome upperclassman, Shinichi Sakurai. Now that school has resumed, Uzaki's teasing continues to ramp up, much to Sakurai's constant annoyance. Nevertheless, no amount of ridicule can damage the pair's relationship—which only seems to be getting better as their college days fly by!

[Written by MAL Rewrite]","{Comedy,""Adult Cast""}",ENGI,Manga,https://myanimelist.net/anime/42962/Uzaki-chan_wa_Asobitai_Double,https://cdn.myanimelist.net/images/anime/1539/128058.jpg
